#北京地震##北京地震了##地震#   这两天的云这么漂亮，误以为是地震云。 经科普才得知地震云这一说目前尚无定论，也不被气象专家和地质专家认可。都怨小时候课文背得太深刻了。尽信书不如无书，而且知识更新太重要了。 北京,地震和云没多大关系;是两会云;没有地震云这种东西，中科院辟过谣的;,05月26日 01:03    ,rumor
#奶奶偶遇消防员孙子却挥手让他走##战士冒冰雹翻单杠604个破纪录##吉林火车站暂停办理乘车业务##新冠肺炎还会与人类共存很长时间##汶川地震搜救犬沈虎遗像落成#转：0575—12345投诉绍兴市越城区城管中队用野蛮执法代替文明宣传的违规行为！👉 【事由】：5月11日上午10点左右，一名群众带着自己的狗从农村到市区洗澡剃毛，在绍兴市越城区凤江路温馨花园大街上遇到了路过的犬管办行政执法车。城管用钳子夹住狗狗的头拖到车上，狗主人为了狗狗不受伤害，也上车一直抱着狗不让他们带走。附近的路人全部求城管放狗主人和狗一马，但城管不肯，并报了警。警察来了，帮着城管四五个人一起把狗抢走了。狗是主人的全部，主人拼尽全力保护自己的爱犬，却被现场警察和城管部门拼命压制主人抢夺其手上的狗！ 狗是主人的私有财产，城管野蛮粗暴执法严重违反了中华人民共和国法律巜物权法》严重侵犯了老百姓私有财产合法权益！光天化日众目睽睽之下，身穿警服伙同城管强力暴力压制抢夺一名进城给狗冼澡群众的狗，中国的哪条法律规定了农村人不可以带狗去城里洗澡，违反了哪条法律法规宪法？没有法律根据，胡乱抓人抓狗，谁赋予了城管如此暴力野蛮执法？请大家每人每天打电话投诉举报绍兴城管非法抢夺主人私有财产违法暴力野蛮行为！地址：绍兴市越城 区凤江路城南街道温馨花园 绍兴市越城区综合行政执法局地址：胜利东路219号 受理投诉电话,"揪出心怀鬼胎别有用心作恶制造乱的破坏份子  发现作恶制造乱的破坏份子立即举报    要求    动物福利   立法保护动物  让真正的大爱救助人管理照顾流浪动物    公示    仇恨  愤世   变态   精神问题   心里问题   凶残恶毒的暴徒   重刑重罚作恶制造乱的破坏份子 @辛苦为谁忙:狗收走，狗主人拘留。;现场执法公安民警该做啥、不该做啥，这里有标准答案   首发！一图解读 | 现场执法，公安民警应练就哪些“绝招”？(全是干货，建议收藏)   【聚焦】执法记录仪对于警察有多重要？这几个案例足够让你警醒！   关注丨城管到底管什么？该怎么执法？这回全要规定清楚了  新华社评论：城管执法办法不可""越位揽权""      物业有权处死流浪动物吗？打狗队可以入户抓狗吗？投毒毒狗违法吗？  http://t.cn/A6wQ0L5s   @辛苦为谁忙:狗收走，狗主人拘留。;揭秘反动保～”黑产”及“虐杀组织”成员的真实身份！  我们为什么要爱国？  爱国，就是做最好的自己！ 境外间谍策反手段曝光！窃密方式细思极恐……   过程曝光！某部委干部被境外间谍色诱策反 被判死缓     真相堪比谍战大片！窃我尖端武器机密间谍落网记   你若光明，中国便不黑暗  阴暗网络空间下的“黑色恐怖”  新华社评论员：看清香港乱局的由来和本质   http://t.cn/A6wQ0L5s      http://t.cn/A6wQ0L5s    http://t.cn/A6wQ0L5s;",05月13日 21:29    ,rumor
一个人的命运吴好运，男，1958年6月生于四川省北川县，出生的第二年中国发生了三年自然灾害，饿了三年肚子的他慢慢长大了，然而他的父母却死于饥饿，1976年，17岁的他考入了华北煤炭医学院（唐山），1976年7月27日他从四川到学校报到，第二天，发生了唐山大地震，他在倒塌的房子下幸运地活了下来，2003年调入广州市第一人民医院，刚刚上班，非典爆发，2008年5月10日，他回家乡北川祭祖，还没来得及走，遇上了汶川大地震，2020年1月，调入武汉市中心医院，遇上了新冠肺炎，身为医生的他上了前线，1月27日被感染住院，2月23日病愈出院，前往福建泉州妻子处养病，入住欣佳宾馆隔离14天，3月7日晚，欣佳宾馆塌了，他没有躲过这次的追杀，享年62岁！#生活的模样##治愈不开心##微博问答#       ,考试的意思是命运不能自己掌控，顺其自然，该来的还是会来。;老师…这不能治愈不开心;目前没有人能离开武汉，所以他无法去泉州。;,03月09日 17:16    ,rumor
我一直在想这真的是全面奔小康的2020吗？当年郭美美事件红十字会的社会公信力失的还少吗？这么多年又一点一滴建立起来的一丝丝信任又在瞬间土崩瓦解。慈善不是交易，更不是名利场的工具。慈善是需要脚踏实地干实事，不会做就别做物资跑到莆田系医院，地震赈灾物资烂在仓库，协和医院没口罩,某会什么时候死？;姐妹你被举报了;举报的人心术不正;,02月18日 18:52    ,rumor
#土耳其发生6.8级地震##土耳其旅行##河南新增23例确诊病例# 信阳封城了，土耳其发生地震了，疫情又严重了，机票可以退全款了，下个月就该回国了，我该去哪 马尔代夫,别回来 真的;别回来了，疫情过后回也没关系的！;信阳没有封城 评论配图;,01月25日 15:21    ,rumor
当年汶川地震当中被兵哥哥救出的12岁女孩，从废墟下救出的时候，小女孩紧紧抱住19岁兵哥哥，兵哥哥静静的安抚她，直到后来女孩慢慢的停止哭泣，并且还像电影情节一样允诺兵哥哥10年后嫁给他，但是当时谁也没当真。之后小女孩把兵哥哥作为她学习的动力，在接下来这几年中，他们两个人都会用手机互相联系，然而兵哥哥还偶尔寄一些钱或者是物品给她读书，就这样十年过去了，这位兵哥哥也退役了。当这位女孩得知兵哥哥还是单身的时候，就发出了短信：“十年了，你该来娶我回家了！”这名兵哥哥深受震撼，但是他们的感情也从这时候拉开了序幕！最终他们真的步入了婚姻的殿堂，如今他们已经育有一子一女，生活非常的幸福。——祝福他（她）们！,,01月19日 16:00    ,rumor
你救我性命，我陪你余生！汶川地震19岁兵哥哥救出12岁的女孩；10年后女孩：你该来娶我回家了！#中国军事# #中国军人# #致敬中国军人# 军人之家的微博视频,博主，这是瞎编的故事，汶川地震拍摄照片的作者亲自出来辟谣了：照片中的小女孩当年只有2岁，现在还在读书……;辟谣了，净网2020;谁家十二岁长这样啊;,01月07日 22:25    ,rumor
当年汶川地震中被兵哥哥救出的12岁女孩时，紧紧抱住19岁的兵哥哥，允诺兵哥哥10年后嫁给他，但谁也没当真。而兵哥哥时常会寄一些钱或物品给她读书。十年过去了，这位救他的兵哥哥也退役了。小女孩发短信,2008.5.12救助，十年后2018.5.12结婚，时间过去19个月，到今天2020.1.5，已有了两个小孩。故事很美，但是时间轴有点紧。。;不用拿爱情去报恩;回复@阔带走滴小阔耐:主角都辟谣了;,01月05日 11:36    ,rumor
当年汶川地震中被兵哥哥救出的12岁女孩，如今他们已经育有一子一女，生活非常的幸福。——祝福他（她）们！,,2019/12/27 20:08,rumor
看来郭大侠得襄阳城是不欢迎我咋滴，啥时候都不震，就我来的时候震，说实话没经历过，感觉也就那么回事儿吧#湖北孝感地震# 襄阳                 ,回复@负却当年锦鸾书:唉说多了都是泪啊;回复@崔先森的崔:;回复@负却当年锦鸾书:删不了现在，微博给我标注了;,2019/12/27 8:21,rumor
据俄 《军工信使》报22日报道：美国东部时间11月21日18时22分，在南中国海检测到当量10-20千吨的爆炸，深度50米。目前中国大陆和台湾已检测到放射水平上升。目前信息正在确认。据halturnerradioshow网站报道，地震检测仪记录到强烈的冲击波。这不太像自然原因的地震，很可能是潜艇发生爆炸。据eadaily报道，美国核潜艇经常在这一海域活动。（救兵  译）突发！俄媒：疑似美国核潜艇在中国南海发生爆炸！       ,谣言就别乱发了;真的是美国核潜艇炸了的话，美国现在只怕炸锅了;做为一个前政府官员，别去转发谣言了;,2019/11/22 13:36,rumor
#南部战区警告美国变花样当心发生不测#【突发】据俄媒《军工信使》22日报称：一艘疑似美国潜艇在中国南海发生当量10-20千吨的爆炸，深度50米，目前有关方面已检测到放射水平上升，地震检测仪记录到强烈的冲击波。这不太像自然原因的地震，很可能是潜艇发生爆炸。『目前该消息还未证实，疑是谣言。』                 ,回复@Kas3Dra:博主名字是台湾傻事;回复@随风远行啊:OK;回复@Kas3Dra:台湾傻哥的博里面有辟谣的博文，你可以去看看;,2019/11/22 13:58,rumor
这两天，西方社交媒体上曝出的一条妖言实在是太过惊悚：美东时间11月20日晚间6点22分，南海某海域50米的水下发生“核爆炸”，当量10-20千吨。这则妖言称，消息来自“未经证实的军方消息源”。随后，妖言发布方还贴出来自全球环境监测网（uRADM）的监控截图，称港、台和湛江等地的辐射值异常。妖言臆测这可能是某东方大国的一次水下核试验，是给美国发出的强力“信号”，与当前中美关系和地区局势相联系，另有人肆意发挥说这可能是一次核潜艇爆炸事故。妖言最初来自哪里呢？原来，这则妖言出自一名妖人。他名叫哈尔-特纳（Hal Turner），是美国新泽西州的一名极右翼政治评论员和电台主持人，自己办了一个以自己名字命名的电台和网站“哈尔特纳电台秀”，大肆宣扬白人至上主义，热衷于各种阴谋论，还呼吁暗杀政府官员等等，此君还有一项“显赫”的经历：曾担任多年的中情局线人，当然不是义务劳动，他是从中情局领取费用的。对于他的极端言行，美国主流社会终于也无法容忍，2010年8月，他对三名联邦法官进行杀害威胁而被判入狱两年。总之，劣迹斑斑的人渣一名。妖言毕竟是妖言，只要具备稍微正常思维和常识的人，就发现妖言太过离谱。有人到那个uRADM监测网核查发现，港、台和湛江20日之前的辐射值数据与之后的数值，根本没有显著差别。哈尔-特纳贴出的截图显然在断章取义、故意迷惑缺乏科学常识的人。而且如果是水下核试验或核事故，地震台会有监测，而无论美国和中国地震台官网都没有有关那里的地震监测数值，也就是说，实际上那里一切如常。更有人采访到美国的科学家，对妖言进行了专业打脸。上述妖言在西方社交媒体被打脸的同时，国内的自媒体也开始发酵了。有中国自媒体22日上午称，据俄 《军工信使》报22日报道：美国东部时间11月21日18时22分，在南海检测到当量10-20千吨的爆炸，深度50米。目前中国大陆和台湾已检测到放射水平上升。目前信息正在确认。据halturnerradioshow网站报道，地震检测仪记录到强烈的冲击波。这不太像自然原因的地震，很可能是潜艇发生爆炸。据eadaily报道，美国核潜艇经常在这一海域活动。期货_丝路的微博视频       ,图片评论 评论配图;如果是真的，一首核潜艇的代价又要讹诈我们多少;真的假的呀。。。。。 昨晚我就在想，中央这次被香港的事弄的憋屈，动手又担心影响祖国崛起大计！但忍着又没面子 想来想去要立威，还真有一个合适的目标！ 第一这个目标得要够强，搞他才有影响力 第二这个目标平时就针对中国，搞他大家只会看热闹，不会集体制裁我们。 第三这个目标在国际上不得人心;,2019/11/22 16:07,rumor
有消息说，昨天在南海水下50米深度发生爆炸，已经排除了地震，🇺🇸核潜艇通常会在这海域活动。如果发生这种程度的爆炸，可能会对潜艇及其仪器造成破坏，会迫使核潜艇离开这个区域                 ,勿谓言之不预也 是不是可以这样理解，美国方面未经允许擅自闯入我领海，只要不是太过分平时也就过去了，这次是明白让他们吃个暗亏了，而且他谁不出来 没理由啊;评论什么鬼？对中国来说，无论哪方面的事故这不是一个好消息。;大哥，仔细看新闻，美国东部时间21日18点，就是咱今天上午...;,2019/11/22 10:12,rumor
#突发！俄媒：疑似美国核潜艇在中国南海发生爆炸#据俄 《军工信使》报22日报道：美国东部时间11月21日18时22分，在南中国海检测到当量10-20千吨的爆炸，深度50米。目前中国大陆和台湾已检测到放射水平上升。目前信息正在确认。据halturnerradioshow网站报道，地震检测仪记录到强烈的冲击波。这不太像自然原因的地震，很可能是潜艇发生爆炸。据eadaily报道，美国核潜艇经常在这一海域活动。#祖国反黑站[超话]##英驻香港总领馆雇员嫖娼审讯视频##香港##我爱你中国# #军事新闻# #中国人唱给美国的魔性RAP# #南部战区警告美国变花样当心发生不测# #致敬中国军人# #美军动态# #国际军事# #海军# #守護香港#                ,真他妈污染环境;假的，美国核潜艇在南海爆炸，已辟谣是美国一小地摊电视节目制作的谣言，这节目一直都是以胡编乱造哗众取宠博眼球，这种新闻在她那一个礼拜能造五次，自己去网上查查辟谣消息;红V发这样的消息！！！;,2019/11/22 11:56,rumor
#日本台风地震火山一起来#这台风景色壮观不？景色漂亮不？没错就是他——要席卷整个日本！ 天津 迟方磊Black的微博视频,回复@ZhangAN棋:在外注意安全！望早日回到祖国的怀抱啊！;回复@迟方磊Black:我在东京这边;回复@ZhangAN棋:横滨市的朋友拍的！;,2019/10/12 19:57,rumor
#宽窄观察[超话]#【#无锡高架坍塌#  讲三座“桥坚强 ”的故事】      一是四川简阳沱江大桥建于1967年，经历了40余年风吹雨打，现在又受到8级大地震冲击，决定炸掉，居然炸而不塌。二是武汉长江大桥，几十年了，每天的列车通过量已增加到150多对，300余列，万吨大货列车可以60公里时速通过，特快客运专列可以100公里时速通过，子弹头动车以120公里通过。三是南京长江大桥，如图三所示。让豆腐渣工程汗颜的，毛泽东时代的三座“桥坚强 ”！,每日经济新闻的微博暗示无锡高架是豆腐渣已经被众人指责，你这又开始了。武汉长江大桥是按照特大公铁两用桥设计，自然可以过火车，但是现在是禁止通过大货车，无锡这次这样的超载车就更别想了。无锡高架设计是给小型车的，事故充其量是监管失职，而不是豆腐渣;开始推锅的各个有关单位人员，逝去的与活着的生命在看着你们~#无锡高架坍塌#;转发微博;,2019/10/12 8:33,rumor
#日本台风地震火山一起来#你永远不知道，明天和意外哪一个先来，所以好好把握现在，莫辜负了这蹉跎岁月。做想做的事，过想要的生活，爱想要爱的人……   上海 佛系背包客的微博视频,这景象是真的吗？！;假的吧打台风不打雷的;好可怕;,2019/10/12 21:28,rumor
#日本台风地震火山一起来##强台风海贝思登陆日本# 我哥从日本发来的……这特么是科幻片？希望大家都没事。 _Keris的微博视频 ,你哥喜欢吹牛逼。或者你喜欢吹牛逼。;完全不信;真的吗？这也太....;,2019/10/12 21:22,rumor
我的妈哎…昨晚睡着了发生这么恐怖的事情吗我大溧阳不是最安全的地方嘛洪水发不到地震震不到台风刮不到这是怎么了溧阳天目湖那边服务区爆炸十几辆大卡车烧了唉 溧阳市 T-MyWD的微博视频,而且没有通报;超过两百天转发是不是就算造谣了...官方都辟谣了;我的妈耶 发条微博还有杠精出来举报哦;,2019/9/27 5:55,rumor
传说是在四川地震中发现的，我绝不相信有这么大的巨蟒，你呢？！ 襄阳                 ,亲眼所见;假的;不信;,2019/6/27 12:39,rumor
宜宾地震泥石流山洪暴发，一条长达120米的蛇，腰粗直径为1.5米，今日下午两点从水里面翻腾上岸，引来数千人围观，成都市委高度重视，下令不准任何单位及个人对其伤害，有关专家专机飞往此地，初步断定此次地震与这庞然大物有关。 微博视频,@宜宾公安  @宜宾公安;哈哈哈已经被拘留了;呵呵呵🤭家庭群说真的;,2019/6/29 1:11,rumor
四川省宜宾地区发生地震后，引发当地泥石流山洪爆发，某日14时余，有一条长达120米，宽度腰围1.5米左右，从河中游上了岸。当地有关政府立即下令：       不容许任何单位或者个人伤害其性命，否则将严惩不怠！       引来无数群众围观，有关专家专机立即前往实地考察、调研…………祈祷灾区人民平平安安！风调雨顺！！！                ,回复@要做一只快乐的小肥猪 的表态:;🙏🙏🙏;回复@小许的xu:;,2019/6/28 8:31,rumor
四川宜宾地震，原来是这东西在作怪。 中山                 ,这东西你也信，没交智商税吧;这p图技术太垃圾;造谣是要坐牢的;,2019/6/27 23:14,rumor
四川地震泥石流山洪暴发，一条长达120米的巨蛇🐍 ，腰粗直径为1.5米，今日下午两点从水里面翻腾上岸，引来数千人围观。 律师宫业星的微博视频,您好，我是宜宾市公安局网警。您的微博账号@律师宫业星 于2019年6月27日22时37分发布的微博系谣言。为避免不实信息的扩散，建议您将该微博自行删除。警方提示：根据《计算机信息网络国际联网安全保护管理办法》，利用互联网制作、复制、传播不实信息等扰乱社会秩序的，都属于违法行为。;像你这种律师，应该没什么业务吧;我也是在群里看到的，有视频有图片。信以为真了。但是想删除也删除不了。不知道什么原因。希望那些道德婊别装好人！希望无端指责者，别狗拿耗子，多管闲事。谣言止于智者，希望你做个智者！别扩大了。;,2019/6/27 22:37,rumor
四川地震泥石流山洪暴发，一条长达120米的巨蛇🐍 ，腰粗直径为1.5米，今日下午两点从水里面翻腾上岸，引来数千人围观，政府相关部门高度重视，下令不准任何单位及个人对其伤害，有关专家专机飞往此地，初步断定此次地震与这庞然大物有关                 ,这群人围观的是赛马，蛇明显是P的;不知道真假，如果为假，信以为真。;真的假的？具体什么位置;,2019/6/27 22:34,rumor
宜宾地震泥石流山洪暴发，一条长达120米的巨龙，腰粗直径为1.5米，今日下午两点从水里面翻腾上岸，引来数千人围观，成都市委高度重视，下令不准任何单位及个人对其伤害，有关专家专机飞往此地，初步断定此次地震与这庞然大物有关。一看就是假新闻，PS图痕迹那么重！开心开心就好… 成都·犀浦                ,要是真的头上那个老哥也太胆肥了;太有才了！;假新闻太多;,2019/6/27 0:25,rumor
中国30个城市地震危险程度排名。排名危险程度最高的前五名是：石家庄，合肥，西宁，海口，长沙。排名危险程度倒数五名是：武汉，天津，北京，重庆，上海guojia不是乱发展的。#武汉爆料##重庆爆料#                 ,可是武汉有洪水;早在2008年7月，《30个省级城市地震风险出炉 石家庄最高上海最低》一文的作者——北京师范大学环境演变与自然灾害教育部重点实验室徐伟已就该错误结论发表说明，并对给石家庄各界带来的不利影响深表歉意。;长沙为啥危险？;,2019/6/18 11:24,rumor
