佛罗里达洲的台风，太壮观了！！！ 世界搞笑排行榜的微博视频,那一声炸雷劈的我一哆嗦，手机差点摔了;确定不是p的？;转发微博;,2019/10/16 22:00,rumor
#骇人听闻台风山竹# 山竹登陆深圳腾讯总部大楼，玻璃丢了很多下来，大家注意安全🙏🙏🙏 陈晓东杭州豪宅别墅董事长的微博视频,这是避难层的通气口，不是玻璃给吹没啦;快，通知马叔叔;腾讯的建筑质量没问题👌;,2018/9/16 13:30,rumor
#山竹来了# 这才仅仅是七级，风眼还没有到达深圳，住在前海边上的我都已经感觉楼房在摇晃了，十级风眼到达会是怎么样？#超强台风山竹# Munbel的秒拍视频,第一，这不是山竹！第二，它不是世纪最强！它只是今年迄今为止最强而已;,2018/9/16 13:43,rumor
全广东包括港澳地区都在等台风，就像等初恋男友，怕他不来，又怕他乱来。#超强台风山竹# 历史性的一次，今晚澳门所有赌场11点时清客关门，禁止博彩，预防台风措施。香港海域满海鱼跃，就似海啸般。海安到海南的船全到湛江湾停泊。珠海所有的大桥高速封闭，未来这两天所有航班取消。这一次的台风预防阵仗很大。目前现在外面还是风平浪静的…天气有点闷热。  陈敏敏baby的秒拍视频 珠海       ,未来两天航班取消。;一发完圈，我家的门窗就被吹得啪啪响了;,2018/9/16 0:32,rumor
这个山竹#超强台风山竹# 上海·118广场 田小燕Vicky的秒拍视频,这个不是山竹 是飓风佛罗伦萨 已经辟谣了 不过 山竹比这个危机还要大;什么角度？;,2018/9/16 13:26,rumor
#台风山竹##台风# 台风来袭，堪比好莱坞~！ 今日胶州的秒拍视频,💪 💪;亲 散播谣言是要坐牢的哦;,2018/9/16 17:29,rumor
据说深圳东门老街那里atm机被吹飞了。到处是钱。 #台风山竹#  买买提X的微博视频,这也没人敢捡啊;#辟谣# 此视频为去年台风“天鸽”来时发生情况;深圳童鞋还是惜命的，这么多大风刮的钱也没人捡;,2018/9/16 13:41,rumor
#超强台风山竹# 深圳沿江高速上演的一幕 Jeffrey锋哥的秒拍视频,又造谣了？？你又开始了？;假的;什么时候的视频？;,2018/9/16 12:54,rumor
这台风大的恐怖幸好没有来浙江。。。粤港澳的朋友要做好抗台准备了                 ,,2018/9/15 11:24,rumor
#台风山竹##山竹登陆##超强台风山竹# 全景下的台风山竹，大片正在上演 第一条评论的秒拍视频,,2018/9/16 14:43,rumor
据说是美国太空总署拍摄到， 世纪最强太平洋恶魔风暴—#台风# 山竹香港的小伙伴们周末还是家里蹲吧，安全第一！  #今日贴纸打卡# 香港特区·香港IFC国际金融中心,,2018/9/14 9:43,rumor
#台风山竹#【钱真是大风刮来的】网曝深圳东门老街那里ATM机被吹飞了，到处是钱。 #山竹登陆广东台山# 买买提X的微博视频,钱真是大风刮来的;真是傻得可以才相信ATM机都吹飞了;谁敢捡？;,2018/9/16 19:05,rumor
#台风吹来钱#ATM都被吹走了 揭阳·葵潭镇 别动我的蛋白粉啊的微博视频,钱 让我去捡!！;本来以为是钱，结果解释是周黑鸭，瞬间心疼了 ，那么多的周黑鸭，别拉我，我要去捡;@学霸肖大大555;,2018/9/16 23:35,rumor
深圳东门步行街的一家银行门口，两箱人民币还没来的及抬上押运车，就被台风刮跑了#台风山竹# 愿所有人平安度过 凯旋杨先生的微博视频,,2018/9/16 13:49,rumor
台风山竹广东登录，弟弟从惠州发来的视频，太可怕了，朋友圈好多同学朋友都在说害怕，随时准备逃走，敬畏自然，希望山竹轻虐 冬冬的玉露琼浆的微博视频,回复@喜欢草莓加可乐:后续才知道了;这好像是香港;@建义_Diary  太特么吓人了;,2018/9/16 21:35,rumor
台风山竹肆虐广州！网友：感觉世界末日要来了，恐惧加心疼！#台风山竹袭来##台风山竹# 赤道蚂蚁的秒拍视频,🙏;气象局已经辟谣这个视频了;这段视频都发过多少次了，要不要这么假;,2018/9/16 12:41,rumor
美国太空总署拍摄到世纪最强太平洋恶魔风暴－“山竹”，据传刚落成的珠港澳大桥最高抵御至16级强风，而“山竹”会是强度高达17级的超大型台风🌪🌪🌪🌪这周六晚就要登陆珠江口香港澳门一带了。。,这个是美国的啥飓风不是“”山竹”;回复@吕珥阿:就是个意思示意;这个是美国的啥飓风不是“”山竹”;,2018/9/13 23:41,rumor
深圳平安大厦已触及最大摆幅2米，台风中心还没到，细思恐极 尽量远离高层建筑                 ,;玻璃没掉 那视频仔细看不是玻璃好不;那不是玻璃幕墙好不，是避难阑珊。;,2018/9/16 14:09,rumor
深圳平安大厦  下玻璃[捂脸][捂脸][捂脸]这个15级的台风不得了 遵义·大连路 小程飞哥的世界的微博视频,装饰的板;招聘合伙人：        男女不限，年龄22至35岁，高中及以上学历，形象气质佳！待遇面谈，望各位亲友推荐……推荐成功定酬谢[抱拳][抱拳][抱拳]  联系电话；17716663256 微信号；cf520311;,2018/9/16 15:36,rumor
#山竹#【台风“山竹”正面袭击粤西】9月15日08时台风“山竹”(超强台风级)中心位于距离湛江东南方向约1130公里的菲律宾吕宋岛北部境内，中心附近最大风力16级，预计即将移入南海东北部海面，趋向我省西部沿海，并将于16日下午到夜间以强台风级到超强台风级（14到16级）在台山到徐闻之间沿海地区登陆，正面袭击粤西。请有关方面密切注意“山竹”动态，提前做好相关防御工作。湛江市气象台15日08时30分 庄雨的秒拍视频       ,假的;这不是山竹。官方那边已经辟谣了。;假的;,2018/9/16 0:09,rumor
太空中拍的台风山竹，真的太可怕了，望大家平安 搞笑金鹰的秒拍视频,回复@有只小猫她很乖:佛罗伦斯;番茄！;@三等乐色  台风山竹;,2018/9/16 10:00,rumor
超强台风山竹登陆广东，目前深圳东门现况。 鉴笑师的微博视频,还好有人说这是以前的  吓死;这是以前的了好么;台风登陆过后风向会变的，所以还是保命要紧;,2018/9/16 12:21,rumor
#台风山竹# 来了！#台风山竹袭来# 商丘那点事的秒拍视频,上述视频是NASA宇航员在太空拍摄到的飓风佛罗伦萨，不是“山竹”。人民日报都已经辟谣了;不是山竹 请别再传了;美国飓风佛罗伦萨;,2018/9/16 10:48,rumor
台风山竹即将登录广东，广东的朋友们一定要注意安全！希望大家都能安全度过。 扒贤王的秒拍视频,假的 刪了吧;希望一切平安！;,2018/9/16 0:16,rumor
这个景象和2008年汶川地震时一模一样，当年亲身体验过地震，现在看了这个样子都后怕#台风山竹##超强台风山竹# 夜猫子半夜不睡觉的秒拍视频,表示看完睡不觉;这是美国;,2018/9/16 12:18,rumor
山竹，珠海实拍#台风[超话]# 维京人来袭的秒拍视频,回复@维京人来袭:这不是我们大广东的视频，我们车牌一般都是蓝色的。。;好早就有了;回复@纯良寒:好多不在广东地区的人是不知道多害怕，真的害怕很;,2018/9/16 11:41,rumor
来自美国太空总署拍到的广东特大台风山竹， 世纪最强台风，现在广州有雨，还没感觉到台风的威力。听说珠海已经开始登陆了。#台风山竹# #广东台风# 夏日科技的秒拍视频,回复@Mr荣_0:嗯，我看到了，这个不是山竹;大哥已经辟谣了;回复@于智明0:现在有感觉了啊，是中午没感觉。;,2018/9/16 12:14,rumor
#深圳台风# 深圳平安大厦达到最大2米摆动值一鹿着迷0420的微博视频                 ,不是平安大厦吧;平你🐴的大厦，别造谣;又要造谣，这栋楼不是平安大厦;,2018/9/16 14:42,rumor
#台风山竹# 航拍的台风山竹全貌，世纪最强台风！ 鹤发童颜一老翁的秒拍视频,🙏🙏;,2018/9/16 14:18,rumor
#台风山竹# 深圳市三点要统一停水，盆友们赶紧囤水啊,注意安全;我是在我们职工群里看到的消息，可能不准确。不过以防万一，大家能囤水就囤点吧 评论配图;该停的已经停了，没停都还没有;,2018/9/16 14:25,rumor
#台风山竹袭来# 深圳新闻网9月16日13,此贴被举报为造谣贴，且受理。;你的微博提到本地大V，想让你的微博获得更多关注，欢迎使用同城爆料>>http://t.cn/RWaGLgH;恶意造谣生事者有之。;,2018/9/16 14:16,rumor
#台风山竹# 据说这是在深圳东门步行街、一家银行门口一箱人民币还没来得及抬上押运车、就被台风刮跑了。（视频来自朋友圈） 我爱掸东的微博视频,眼看着钱就在眼前不敢出去拿;我要报警，山竹抢劫运钞车;山竹抢银行了;,2018/9/16 14:39,rumor
#台风山竹##超强台风山竹##台风山竹袭来##山竹台风路径##台风山竹 广东##山竹来了# 释梦师的秒拍视频,这个是谣言，是在美国发生的。刚看完辟谣。;就像好莱坞灾难片;辟谣，这是发生在美国。。跟这次山竹没半毛钱关系;,2018/9/16 13:26,rumor
山竹台风路径马上到达广州啦！12点以后不要出门 广州·人和镇 芳香世家方加贝的秒拍视频,这是几年前的视频了。;造谣你妈呢 这是几年前的视频;这是美国的视频，而且是特效，;,2018/9/16 11:52,rumor
#台风山竹##台风[超话]# 深圳地标，平安大厦，开始掉玻璃了[疑问]你还扛得住吗？这台风太吓人了。希望大家都平安无事 股道笔记的微博视频,造谣信息，随手举报;假的，官方已经辟谣。那是拍摄者窗户外的水珠;已辟谣，平安大厦并没有玻璃掉落。只是一些杂物纷飞，错觉。望不要散播谣言;,2018/9/16 14:59,rumor
#台风山竹# 【扩散扩散】重要信息！刚咨询单位工程师，家里的空调尽快关了，风力太大会影响外机运作 ，可能风力压过空调外机散热，风机逆转 ，容易引起两股电流相撞烧机甚至爆炸。ps.已有朋友家空调刚刚爆机。,;谣言！刚刚已经辟谣了;,2018/9/16 16:15,rumor
#装修万里行[超话]# 深圳朋友发来的视频，令人感到恐惧的山竹台风。幸好赶在台风来临之前，回到了上海。#带着微博去旅行# 我的河畔小城的秒拍视频,深圳现在很平静，台风还在500公里外，30公里左右速度靠近，预计明天上午10-12点登陆，这视频是假的。;@homgirl47;你的辨别能力不行啊;,2018/9/15 23:45,rumor
#台风山竹# 天生异象 必有妖孽！ A股道场的秒拍视频,@我是大白云阿;刚刚吗;太恐怖了;,2018/9/16 1:04,rumor
#光影秀[超话]#山竹台风[晕] 中华新闻焦点的秒拍视频,不是说假的吗;你身为黄v发这个n年前的视频 引起恐慌真的好吗;,2018/9/16 7:14,rumor
有没有灾难片大片的赶脚#台风山竹# 糗事星君的秒拍视频,回复@流沙包与蟹黄捞:不要慌，做好安全准备措施;恐怖;只想知道这是哪里;,2018/9/16 8:23,rumor
#广东停课# 天空的鸟儿在寻找安生之处 ，这样的天气你会想到谁，希望台风温柔一点希望一切平安 重庆·城南街区 你确实很下饭的秒拍视频,回复@川金王:哈哈哈 管你屁事 你不觉得很可怜迈;;你真的好傻啊;,2018/9/15 23:38,rumor
大的天灾前夕，动物总是最先感应到的，但愿这次台风过境不要太猛烈。😱😱😱😱 微博视频,哈哈哈 官方钦定造谣;@就想早睡觉;哟，骚猪，道德绑架别人又来这里骗粉了？我的小宝贝。你真是6啊。;,2018/9/15 23:43,rumor
#台风山竹#        强台风“山竹”来袭将严重影响我市，广州市从2018年9月15日18时30分开始启动防台风I级应急机制，除特殊行业外全市实行停工、停产、停课！ 郑姑凉zheng的秒拍视频,回复@郑姑凉zheng:这是美国飓风，几个月之前的！;回复@Julia妹妹桑:这是山竹在太空中拍的，台风来临不要出门做好预防措施;这个貌似不是山竹，是之前美国的一个台风;,2018/9/16 1:28,rumor
山竹台风直奔珠三角，各位朋友注意安全了。 AnsonLu盧安順的秒拍视频,回复@伊路锐歌_zyR:这假的啊，好早以前就看过啊;在哪拍的？;,2018/9/16 0:47,rumor
刚刚看到，太恐怖！广东的朋友多多注意安全🙏#超强台风山竹# 荣和烧坊茅台酒·李峰的秒拍视频,再次申明，我写得很清楚，这是他转发的台风视频，并不是广东现场拍摄，可能是美国或别的国家视频。–转朋友的声明;此刻，不是甄别视频的时候，而是应该我们大家奉上心中的祈福，共同祈福台风所过我国土灾害降至最低🙏国民平安🙏我相信意念的力量可以与自然有互动的作用。更何况视频是刚刚通过媒体朋友发过来的。;,2018/9/16 8:35,rumor
超级台风“山竹”每小时释放的热量的可怕让鸟类如此恐惧。。。我们人类也无济于事。 亚洲电视何镇宇的秒拍视频,视频很早之前的，请别用假视频制造恐慌，热度不是这么蹭的🙏;假视频;别造谣，群众可以把你送监狱;,2018/9/16 7:40,rumor
重大灾害！青岛刚刚突降台风自然灾害，已经出现人员伤亡！ 山东收藏网的秒拍视频,造谣零成本？这个视频都多久的了;渡劫呢吧，我的天哪;这是人被卷到天上了？;,2018/6/13 20:24,rumor
