#北京疫情扩散风险很高#，北京疫情严峻，84岁的钟南山院士再次出征北京， 他就是最耀眼的一颗星，为钟老点,新冠病毒狡猾凶险，形势严峻，不容任何闪失，疫情防控对北京又是一场大考，我们相信北京能交一份令满意的答卷。;为博主点赞！;;,06月18日 11:36    ,rumor
#北京防疫再入战时状态# 今天一定要为我们的钟南山院士点赞，84岁的钟院士再次为北京高风险疫情地区出征，迎难而上，心系祖国，心系人民，中国加油！北京加油！希望全国疫情尽快清零～为钟院士点,北京加油。中国加油。;北京加油！;,06月18日 11:26    ,rumor
这钱没有人眼红，这才是值得拿高薪的人！人民心服口服，支持张文宏#钟南山 一些欧美国家不是真正的封城# 曝料一哥的微博视频,这样顶尖的医学专家年收入184万不算高，比起那些明星歌星少的可怜了，连零头都不够！;说实话这次疫情他不仅表现出来的专业素质让人印象深刻，个人呈现出的独立人格更是让人称赞，希望不要污染了!;和那些戏子比比差远了，人民需要这样的人才多挣点钱;,04月06日 15:28    ,rumor
《石正丽凌晨发出警告：对疫情不必抱有太大乐观，蚊虫或成第三宿主》钟南山曾经表态全球疫情将会在4月底结束，而石正丽发出的警告再一次让结束新冠病毒变得遥遥无期。http,我的天~~ 没完没了了;她又出来辟谣了，有人截图她的文章了吗？;用一个谣言试图掩盖另一个更大的谣言，我是不信。我只想知道病毒是从哪里来的？;,03月17日 12:58    ,rumor
非常遗憾，屠呦呦落选院士！2019年，屠呦呦获得共和国勋章；2015年，屠呦呦获得诺贝尔生物学奖。在今年院士评选中落选，好在屠呦呦本人不在乎，评选委员会给出三个落选理由：1.没有留洋背景；2.没有博士学位；3.没有发表足够数量的论文。高福发表论文450多篇，钟南山院士发布论文220多篇。她与她的青蒿素功在当代，利在千秋，她为祖国的中医药事业做出了卓越成就；她造福了全人类，可以彪炳史册；她被BBC评选为“20世纪最伟大的科学家，可以与爱因斯坦，居里夫人齐名”。屠呦呦落选，您怎么看？                ,不错，很中国;很正常啊！评选院士，学历，形式主义很重要！！！;这是在中国，很正常。;,02月26日 21:53    ,rumor
#钟南山 新冠肺炎疫情有望4月前结束# 屠呦呦教授再次落选院士——科研之痛何时止！02-27 07,爱因斯坦在中国一定选不上院士;现在都崇洋媚外，什么高校教师必须要国外经历，不然都没有评教授副教授的资格。这是对自己的国家多没自信啊，一定要留学经历;子曰：“邦有道，贫且贱焉，耻也；邦无道，富且贵焉，耻也。;,02月27日 12:31    ,rumor
【屠呦呦再次落选院士，中国院士比诺贝尔奖厉害？】2015年，屠呦呦获得诺贝尔生物学奖，成为中国第一位真正意义上的自然科学类诺贝尔奖获得者。然而，她却多次评选不得院士！2020年她在院士评选中又落选了。是因为什么原因？国际知名的科学家，还不如一些部委领导、校长、主任水平高？中国院士的条件到底是什么？屠呦呦被戏称为“三无”科学家，无博士学位，无留洋背景，无院士头衔。疫情过后，中国的这种局面会不会改变？钟南山也只是工程院院士，还不是科学院院士，还有没有颜宁等青年科学家也没有获得院士，后来出走美国了。大师，就该有大师的位置，国家才有希望！,【此内容为不实消息，微博已处理！个人无法处理】经查，该微博配图称“2020年的两院院士评选，屠呦呦再次落选。”不实，@捉谣记 已辟谣：经核实，2020年并非增选院士的年份，两院院士去年刚刚增选过一轮，且屠呦呦并没有参选。;评上院士有用吗？评上还能得诺贝尔奖吗？;不花钱，不跑不送能当院士？;,02月26日 21:14    ,rumor
#钟南山回应新冠肺炎药物使用#肺部CT图像科普                 ,愿大家双肺纹理走形、分布正常，肺内未见实质性病灶，未见磨玻璃密度影。肺门不大，纵隔未见增大淋巴结，心影不大，膈面光整肋膈角锐利。血尿常规正常，CRP正常，核酸检测阴性;原微博在哪里。;保持敬畏之心;,02月19日 21:59    ,rumor
美国瑞德西韦，已获川普总统特批，向中国豁免制病毒特效药的专利，钟南山亲自去机场，迎接该公司的老总，有了特效药生产授权，中国的药厂，可以自己生产这个药。                 ,4月27日后呢？高价药？还是免费药？;艾滋病，埃博拉，非典都是美国人，在实验室合成的。;授权只到4月27日，最多完成临床试验;,02月03日 08:42    ,rumor
这是今天机场的周杰伦，有钱真好，可以全方位三百六十度无死角预防冠状病毒，此时我正在发愁年后的口罩什么时候寄到#新型冠状病毒怕酒精不耐高温##周杰伦福州##新型冠状病毒##钟南山肯定新型冠状病毒肺炎人传人##全国确诊新型肺炎病例##周杰伦##预防新型冠状病毒肺炎##武汉要求全市在公共场合佩戴口罩# http,,01月23日 18:57    ,rumor
